Date,Open,High,Low,Close,Adj Close,Volume
2017-04-07,5.579999923706055,5.579999923706055,5.116000175476074,5.349999904632568,4.856782913208008,73681526
2017-04-10,5.340000152587891,5.429999828338623,5.199999809265137,5.349999904632568,4.856782913208008,30450649
2017-04-11,5.389999866485596,5.3979997634887695,5.239999771118164,5.300000190734863,4.811392784118652,3578556
2017-04-12,5.369999885559082,5.39900016784668,5.300000190734863,5.320000171661377,4.829548358917236,1137882
2017-04-13,5.304999828338623,5.348999977111816,5.130000114440918,5.183000087738037,4.705178737640381,1400374
2017-04-18,5.184000015258789,5.239999771118164,5.099999904632568,5.099999904632568,4.629830360412598,2183902
2017-04-19,5.14900016784668,5.198999881744385,5.090000152587891,5.184999942779541,4.70699405670166,6307784
2017-04-20,5.209000110626221,5.340000152587891,5.179999828338623,5.309999942779541,4.820469856262207,1272502
2017-04-21,5.320000171661377,5.380000114440918,5.289999961853027,5.380000114440918,4.884016513824463,861261
2017-04-24,5.440000057220459,5.491000175476074,5.360000133514404,5.420000076293945,4.9203290939331055,3252351
2017-04-25,5.449999809265137,5.5,5.4029998779296875,5.449999809265137,4.947563648223877,1325944
2017-04-26,5.480000019073486,5.570000171661377,5.460000038146973,5.550000190734863,5.038344860076904,1528414
2017-04-27,5.570000171661377,5.590000152587891,5.500999927520752,5.550000190734863,5.038344860076904,730012
2017-04-28,5.550000190734863,5.619999885559082,5.514999866485596,5.570000171661377,5.056501388549805,839054
2017-05-02,5.599999904632568,5.760000228881836,5.571000099182129,5.710000038146973,5.183594226837158,1400398
2017-05-03,5.710999965667725,5.739999771118164,5.5229997634887695,5.599999904632568,5.08373498916626,1326807
2017-05-04,5.620999813079834,5.71999979019165,5.620999813079834,5.699999809265137,5.174516201019287,1212741
2017-05-05,5.692999839782715,5.709000110626221,5.640999794006348,5.659999847412109,5.138204097747803,656224
2017-05-08,5.671000003814697,5.701000213623047,5.60099983215332,5.650000095367432,5.129125595092773,520331
2017-05-09,5.710000038146973,5.710000038146973,5.6020002365112305,5.670000076293945,5.147282123565674,954774
2017-05-10,5.679999828338623,5.75,5.679999828338623,5.739999771118164,5.2108283042907715,1158222
2017-05-11,5.74399995803833,5.869999885559082,5.690999984741211,5.75,5.219906806945801,1999761
2017-05-12,5.730000019073486,5.84499979019165,5.7210001945495605,5.75,5.219906806945801,2658202
2017-05-15,5.849999904632568,5.925000190734863,5.769999980926514,5.889999866485596,5.346999645233154,1740720
2017-05-16,5.940000057220459,5.940000057220459,5.760000228881836,5.800000190734863,5.265296936035156,2497457
2017-05-17,5.769999980926514,5.7870001792907715,5.724999904632568,5.730000019073486,5.201749801635742,1159543
2017-05-18,5.736999988555908,5.769999980926514,5.610000133514404,5.614999771118164,5.097352504730225,979775
2017-05-19,5.639999866485596,5.78000020980835,5.619999885559082,5.660999774932861,5.139111042022705,832809
2017-05-22,5.699999809265137,5.71999979019165,5.645999908447266,5.645999908447266,5.125494956970215,695715
2017-05-23,5.730000019073486,5.742000102996826,5.659999847412109,5.741000175476074,5.211737155914307,389118
2017-05-24,5.710000038146973,5.769999980926514,5.690000057220459,5.71999979019165,5.192672252655029,1325517
2017-05-25,5.690999984741211,5.798999786376953,5.683000087738037,5.710000038146973,5.183594226837158,1084449
2017-05-26,5.736000061035156,5.854000091552734,5.736000061035156,5.789999961853027,5.256219387054443,821076
2017-05-29,5.789999961853027,5.835000038146973,5.76800012588501,5.78000020980835,5.247140407562256,358671
2017-05-30,5.796000003814697,5.796000003814697,5.75,5.755000114440918,5.2244462966918945,495601
2017-05-31,5.75,5.809999942779541,5.75,5.760000228881836,5.228984832763672,2609726
2017-06-01,5.76800012588501,5.809999942779541,5.760000228881836,5.760000228881836,5.228984832763672,492203
2017-06-02,5.796999931335449,5.809999942779541,5.760000228881836,5.809999942779541,5.2743754386901855,915382
