,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,1228846.3823591063,-261615.25398866914,-195109.41874256782,2338395.3147713877,1791504.2616209658,-2042361.0706708436,-1912001.1827504248,770144.1494085784,-317900.3399552897,219416.020133157,-3358.9762108511172,-192218.59627472452,-229235.99922331507,-537560.7411123507,50942.826194903886,395391.9997725452,-128022.49138677906,-730320.1718953274,-334636.5675241607,-375097.4806790033,-391894.60933636175,-993521.5522567062,-477959.01229618164,-198273.06424823203,-2212294.9852229487,856481.2606609317,-635134.8886968808,-127527.12222418189,-352906.39977726404,-601812.4714018158,133023.57765323343,-117776.2743924052,43667.435681780014,673300.6637473991,1418384.8048816784,-231622.06603456236,2981060.5042511774,-1187603.2351614167,-123612.56724021239,1232466.1410807478,-1454791.9797020832,585498.0119133267,297951.44182082324,5033121.5531374,-288556.8626939845,539140.7616225359,-362515.3818372128,-293986.92185775563,-483251.7782304749,-201003.8838985898,260952.78379011134,317642.5684490274,-366492.46440920647,,-529748.459156972,-1138484.7246251854
1,-261615.25398866914,129619.49094503411,97726.07331390397,-783004.8662091647,112569.12951178524,-131808.565341198,-245597.62637757827,-255787.9447777247,164366.4162106585,-233930.56502144533,190032.95518108792,92422.25977479275,110134.62153769325,239341.44686119026,-115752.70562396395,-89471.51161271981,109600.20432479598,91249.7814275394,185677.31516887335,175249.93125648922,186803.85020229954,444169.69005390786,251044.22863403344,89413.93241221173,-181053.6424045597,-531382.039824838,406631.6128935689,168773.90188698206,176719.20625712042,80208.0119298875,-64052.46501251789,62105.57324700501,-28761.800286450358,-249599.15426259328,179036.1989539639,121684.08875469418,391253.0298157372,-144447.76808880843,64002.17695973523,247407.52519585556,55962.73753352869,-411344.5455118492,-160061.33696486495,443642.4085444256,207649.14991385295,-346323.48127824446,211784.34027908355,91758.41718087188,186797.0290751632,-65699.92644270524,-76687.25935948706,-161373.39447832678,179079.94670133898,,276908.81246663537,116228.4220388889
2,-195109.41874256782,97726.07331390397,73618.79106249611,-594358.0497254841,85224.13791071379,-99422.44962945282,-178616.81809287396,-194127.41680018586,123495.55164060954,-170997.25661718682,138184.88501450486,69827.08385287573,83213.34946182506,181529.59836659,-84316.21459585671,-66930.21048378796,80331.55357325629,65902.21559881087,138631.96557019136,132629.77231688992,141211.2141162171,336830.44976653793,188359.8346842318,67782.49954316822,-133206.4147512219,-393485.15438139194,300593.741500308,123177.63157171215,133128.31577632588,58183.166433169165,-48388.56688522725,46581.762858605616,-21232.927559154265,-189744.65099634687,130232.6397276729,91298.46356371084,284486.5870850453,-105117.68686730623,48081.7387765423,179456.99399236648,35604.837206924036,-302910.22624958114,-119852.18656539547,325203.26870156184,152793.3607660581,-255969.47945354617,157456.81050604602,69528.71970645427,142022.25375187435,-47624.58373197639,-57999.462068639354,-121426.88630226496,135152.41934701055,,207854.89604463606,82706.40573535078
3,2338395.3147713877,-783004.8662091647,-594358.0497254841,5084062.9807680175,2568777.694766818,-2927425.0019402336,16380719.25440752,1668640.9115543494,-1024406.2972566239,2711276.548017896,-3136205.290830432,-550209.5178452871,-655455.3354226018,-1404942.644612468,1648982.3882998137,762359.0491635336,-1131769.7898121225,-1278327.567664754,-1249135.1603379294,-1034145.2216095955,-1108569.8926811412,-2607402.505290356,-1587720.1332635123,-525053.9817684257,-2528846.6030657403,4121171.519346961,-3272931.519754465,-2121399.1328079165,-1074608.3939301393,-1061727.4075207715,381535.6294018431,-394326.7909487648,238933.35853564023,1537661.4993196721,-11560498.310203072,-769750.6804391921,-26933397.581266753,8508533.831715846,-399386.1887009448,-14134859.86299262,-2336805.608808072,3647076.527537838,1036471.0962386269,3096375.7702052477,-1881973.916436662,2798132.428912376,-1522148.938356911,-621532.0680882568,-1130731.5913183975,2452352.026974636,540166.80334827,991382.0672945835,-1073721.2365354777,,-1743166.2454361054,-1949771.5137637367
4,1791504.2616209658,112569.12951178524,85224.13791071379,2568777.694766818,283344.0863735887,-312435.3010906358,-278404.06362012064,887130.7642159482,143745.4352432754,-193292.76779647914,162238.97601141597,78386.7192899263,93324.14458933039,164096.8824532461,-97258.72664123401,619817.1187695124,90119.84981739493,-607626.474463104,159440.25385999354,141918.9002156126,156689.8027480207,310833.38051517535,219062.0020173094,65039.22639119741,-272160.3230303259,-442920.1132312372,337341.39723634097,140234.7957160166,154100.48237008345,-528940.4664901574,-54414.02899272182,54149.464909094495,-23785.36659815034,280031.1606485642,204154.02430805995,106177.42333277523,440412.57376742014,-166904.20615045767,55965.843233867636,252042.47380114015,-673324.7054743442,-338692.2314052612,-138886.1207907398,616106.7400354793,170821.3664837855,-287189.0139087289,178932.88346502272,-442331.85582779686,-85878.34947680705,-62650.560117928086,448227.3971148101,-141115.50847700777,154215.3930126215,,241840.87387084262,-814515.2079644515
5,-2042361.0706708436,-131808.565341198,-99422.44962945282,-2927425.0019402336,-312435.3010906358,344563.8050760338,308234.1289786827,-1015535.2336990053,-166186.4024004013,216183.51813914324,-180802.9847640596,-92911.20181056175,-110656.90182939653,-205813.36280872006,108521.70364507947,-711234.3735228644,-100974.71387297145,675234.7588990779,-181901.99117458597,-170836.11811945317,-186506.29143237523,-388039.00969830237,-252333.64726887186,-80469.7318898749,300667.805254097,500294.4978850552,-380442.999515975,-156680.57897566303,-179788.05525012952,588607.8315369047,64453.58456985848,-62321.0185530455,26793.402830289695,-283064.4797839047,-226014.12205617694,-122298.10946850441,-487638.76991079294,184750.26662156047,-64680.55744165655,-279436.82600501244,742418.3429287364,380764.7810816951,159265.16618824046,-680964.5833750517,-191929.4080886695,323835.1701991158,-202972.26446014503,517879.4616200086,69470.5061554306,69545.31002549907,-528397.7870509806,163914.2148574236,-181521.19800121992,,-278871.1547496011,902358.3722831097
6,-1912001.1827504248,-245597.62637757827,-178616.81809287396,16380719.25440752,-278404.06362012064,308234.1289786827,298314.4616303358,6077293.482891001,-272362.54426912614,242508.55240316407,-193263.69120084043,-194503.5474194895,-232440.22335267716,-682078.6601856558,117989.36918661368,-720582.6404674136,-115951.05145722057,536635.3583766993,-258576.35040283928,-410736.25528596324,-405831.94040158833,-1243994.3499078446,-397958.93320741144,-241491.37001906594,279634.7245304863,634351.338711497,-473468.84673191875,-173386.62727154346,-323256.66433157126,469183.9290686195,134096.32472537612,-97410.21190875398,32884.027220120486,1902643.1145058868,-218503.50594517065,-192781.64670557503,-472563.6750701644,178188.1600481215,-105623.16657484655,-276735.28697137674,599852.7441697803,456069.89658831013,239440.087496195,-639234.970059942,-228243.26488215118,402310.31513742555,-270431.61260991404,-19663202.992135283,-1082131.7862681258,70209.07147943895,-2333114.47410355,281923.5313712089,-355842.1397447101,,-444810.7018203319,715307.4424622762
7,770144.1494085784,-255787.9447777247,-194127.41680018586,1668640.9115543494,887130.7642159482,-1015535.2336990053,6077293.482891001,547704.9033738916,-334412.86440448964,881379.6881159542,-1020503.3571210724,-179825.0782575552,-214225.18843742128,-459690.0040890404,536171.0426911889,250977.09404665607,-367993.7817113435,-422369.07397091587,-407311.02947360324,-338136.7933227347,-362362.4674131913,-853081.2522073571,-518168.7043891386,-171764.95612770808,-1020191.457949096,1341971.6377437026,-1065470.7350160356,-689615.0181867396,-350986.7500928448,-350677.3599976773,124694.56947456283,-128684.18906725172,77766.04974114007,504186.84042722196,-4274006.996454764,-251215.10482613175,-10016068.192146406,3104987.978342127,-130374.79465000531,-4891251.678867511,-776109.0966093547,1186571.908902845,338138.094733696,1604380.840403379,-612229.6512631233,910880.607540123,-495980.08435125265,-204118.2332819935,-370596.63282244955,815303.5400381896,177485.061046265,323726.60563857545,-350835.6992861918,,-568945.5613803834,-644908.1249539164
8,-317900.3399552897,164366.4162106585,123495.55164060954,-1024406.2972566239,143745.4352432754,-166186.4024004013,-272362.54426912614,-334412.86440448964,205482.50973702446,-263430.5548073146,210148.10427907767,118228.98986234845,140917.0445907374,311330.52921736997,-128761.22338970682,-110136.96053596794,124617.08362432967,96435.07615924459,226348.82881528354,225808.49235278924,239515.4602057543,577372.3360864889,312088.49378916895,116051.76273180587,-209248.15409047375,-627473.4003994741,477078.5077082419,189018.29676766376,223336.44684859616,86439.15854249832,-81905.38383917105,77097.74900204713,-33574.9534183578,-328368.47678205173,198682.23837452044,151261.16393107592,433547.61914301984,-160548.4590176149,79972.66243740913,271667.5128820418,28916.83854112223,-475750.4734958599,-197371.28920384776,506100.2082414416,239483.35995598885,-406067.63178097695,253953.59732448473,119198.61088814952,245803.69192347696,-71941.13985434672,-98852.63714668328,-202969.3755803848,228041.47582575146,,344837.37258815725,114841.51040501399
9,219416.020133157,-233930.56502144533,-170997.25661718682,2711276.548017896,-193292.76779647914,216183.51813914324,242508.55240316407,881379.6881159542,-263430.5548073146,223872.82224889658,-173371.7510828978,-181802.37472413524,-217132.15687101855,-582812.3611954527,107034.96529534532,104661.19035224999,-108204.08790021502,88864.73472876952,-251395.3438566312,-374151.73319739976,-376713.67032895144,-1069992.2101434604,-386035.28905330435,-210477.27625404278,213380.09577047086,609656.977034089,-453284.73971138283,-158923.2668517743,-309434.0323312483,65059.654990168245,125475.67273482923,-94542.79561252384,31377.47663201653,851188.7667004489,-177363.46561695336,-187011.44946918052,-384846.7446306936,144162.61602689014,-102191.34207907978,-231600.1090480568,248233.20728350032,432202.8281903583,232776.23078440086,-495891.16727852117,-215804.547585845,385005.9424616257,-261806.31156843615,-295914.45108757354,-608412.4299468948,60003.26885106529,221643.59760543425,271349.71667836956,-336308.2190671782,,-431154.8076199915,169402.23180109556
