,Date,Close
0,2000-01-03,11610.0
1,2000-01-04,11206.599609
2,2000-01-05,10863.099609
4,2000-01-07,11102.400391
5,2000-01-10,11173.299805
6,2000-01-11,11012.400391
7,2000-01-12,10851.799805
8,2000-01-13,10931.900391
9,2000-01-14,11184.0
10,2000-01-17,11285.599609
11,2000-01-18,11066.299805
12,2000-01-19,11120.700195
13,2000-01-20,11047.599609
14,2000-01-21,10969.299805
15,2000-01-24,10955.0
16,2000-01-25,10863.5
17,2000-01-26,11031.400391
18,2000-01-27,11206.599609
19,2000-01-28,11009.299805
20,2000-01-31,10835.099609
21,2000-02-01,10970.0
22,2000-02-02,11195.599609
23,2000-02-03,11544.099609
24,2000-02-04,11580.099609
25,2000-02-07,11506.799805
26,2000-02-08,11834.799805
27,2000-02-09,11939.5
28,2000-02-10,12020.599609
29,2000-02-11,12432.599609
30,2000-02-14,12458.599609
31,2000-02-15,12165.099609
32,2000-02-16,12235.099609
33,2000-02-17,12326.700195
34,2000-02-18,12368.0
35,2000-02-21,12260.299805
36,2000-02-22,12076.900391
37,2000-02-23,12312.299805
38,2000-02-24,12352.299805
39,2000-02-25,12690.900391
40,2000-02-28,12467.0
41,2000-02-29,12585.799805
42,2000-03-01,12538.700195
43,2000-03-02,12709.599609
44,2000-03-03,12745.0
45,2000-03-06,12816.799805
46,2000-03-07,12667.200195
47,2000-03-08,12668.299805
48,2000-03-09,12563.200195
49,2000-03-10,12513.700195
50,2000-03-13,12359.700195
51,2000-03-14,12555.799805
52,2000-03-15,12279.5
53,2000-03-16,12260.900391
54,2000-03-17,12369.799805
55,2000-03-20,12362.400391
56,2000-03-21,12308.299805
57,2000-03-22,12172.200195
58,2000-03-23,12073.299805
59,2000-03-24,12213.799805
60,2000-03-27,12162.0
61,2000-03-28,12211.099609
62,2000-03-29,12088.599609
63,2000-03-30,11833.400391
64,2000-03-31,11935.0
65,2000-04-03,11686.400391
66,2000-04-04,11584.200195
67,2000-04-05,11374.599609
68,2000-04-06,11607.900391
69,2000-04-07,11790.599609
70,2000-04-10,11768.700195
71,2000-04-11,11515.299805
72,2000-04-12,11542.099609
73,2000-04-13,11647.200195
74,2000-04-14,11363.900391
75,2000-04-17,11217.299805
76,2000-04-18,11261.5
77,2000-04-19,11339.799805
78,2000-04-20,11502.0
81,2000-04-25,11425.5
82,2000-04-26,11481.5
83,2000-04-27,11273.0
84,2000-04-28,11467.900391
86,2000-05-02,11867.200195
87,2000-05-03,11667.900391
88,2000-05-04,11597.5
89,2000-05-05,11560.900391
90,2000-05-08,11304.0
91,2000-05-09,11071.700195
92,2000-05-10,10832.299805
93,2000-05-11,11036.299805
94,2000-05-12,11102.599609
95,2000-05-15,11009.299805
96,2000-05-16,11220.700195
97,2000-05-17,10905.299805
98,2000-05-18,10889.599609
99,2000-05-19,10544.900391
100,2000-05-22,10326.299805
101,2000-05-23,10380.099609
102,2000-05-24,10342.400391
103,2000-05-25,10560.599609
104,2000-05-26,10437.099609
105,2000-05-29,10558.900391
106,2000-05-30,10648.5
107,2000-05-31,10688.5
108,2000-06-01,10875.5
109,2000-06-02,11141.5
110,2000-06-05,11004.200195
111,2000-06-06,10782.5
112,2000-06-07,10688.900391
113,2000-06-08,10799.599609
114,2000-06-09,10873.200195
115,2000-06-12,10791.299805
116,2000-06-13,10806.0
117,2000-06-14,10880.700195
118,2000-06-15,10876.0
119,2000-06-16,10723.799805
120,2000-06-19,10595.599609
121,2000-06-20,10563.400391
122,2000-06-21,10351.400391
123,2000-06-22,10490.5
124,2000-06-23,10533.099609
125,2000-06-26,10488.900391
126,2000-06-27,10528.200195
127,2000-06-28,10583.200195
128,2000-06-29,10366.400391
129,2000-06-30,10581.299805
130,2000-07-03,10676.700195
131,2000-07-04,10848.900391
132,2000-07-05,10757.599609
133,2000-07-06,10739.599609
134,2000-07-07,10896.700195
135,2000-07-10,10828.900391
136,2000-07-11,10874.799805
137,2000-07-12,10878.700195
138,2000-07-13,10848.200195
139,2000-07-14,11002.599609
140,2000-07-17,10949.200195
141,2000-07-18,10791.5
142,2000-07-19,10850.700195
143,2000-07-20,10986.099609
144,2000-07-21,10879.599609
145,2000-07-24,10831.5
146,2000-07-25,10714.599609
147,2000-07-26,10743.799805
148,2000-07-27,10726.0
149,2000-07-28,10560.0
150,2000-07-31,10531.599609
151,2000-08-01,10549.0
152,2000-08-02,10644.5
153,2000-08-03,10453.0
154,2000-08-04,10583.400391
155,2000-08-07,10707.700195
156,2000-08-08,10867.599609
157,2000-08-09,10951.900391
158,2000-08-10,11110.599609
159,2000-08-11,11094.599609
160,2000-08-14,11210.599609
161,2000-08-15,11207.900391
162,2000-08-16,11342.700195
163,2000-08-17,11155.5
164,2000-08-18,11065.5
165,2000-08-21,11093.5
166,2000-08-22,10934.599609
167,2000-08-23,10798.099609
168,2000-08-24,10720.099609
169,2000-08-25,10818.299805
170,2000-08-28,10907.5
171,2000-08-29,10840.599609
172,2000-08-30,10869.599609
173,2000-08-31,10884.700195
174,2000-09-01,11170.099609
175,2000-09-04,11246.299805
176,2000-09-05,11188.200195
177,2000-09-06,11238.5
178,2000-09-07,11282.5
179,2000-09-08,11103.299805
180,2000-09-11,11229.799805
181,2000-09-12,11311.799805
182,2000-09-13,11212.5
183,2000-09-14,11451.599609
184,2000-09-15,11463.099609
185,2000-09-18,11188.099609
186,2000-09-19,11065.5
187,2000-09-20,10901.299805
188,2000-09-21,10803.400391
189,2000-09-22,11029.400391
190,2000-09-25,11159.099609
191,2000-09-26,10956.0
192,2000-09-27,10957.599609
193,2000-09-28,11023.099609
194,2000-09-29,10950.0
195,2000-10-02,11152.5
196,2000-10-03,11271.200195
197,2000-10-04,11159.299805
198,2000-10-05,11237.299805
199,2000-10-06,11150.0
200,2000-10-09,10838.799805
201,2000-10-10,10950.700195
202,2000-10-11,10618.700195
204,2000-10-13,10385.400391
205,2000-10-16,10455.200195
206,2000-10-17,10375.400391
207,2000-10-18,10056.099609
208,2000-10-19,10367.299805
209,2000-10-20,10443.599609
210,2000-10-23,10329.900391
211,2000-10-24,10666.900391
212,2000-10-25,10517.400391
213,2000-10-26,10324.700195
214,2000-10-27,10395.700195
215,2000-10-30,10307.299805
216,2000-10-31,10363.099609
218,2000-11-02,10507.0
219,2000-11-03,10542.700195
220,2000-11-06,10610.5
221,2000-11-07,10573.599609
222,2000-11-08,10488.400391
223,2000-11-09,10273.5
224,2000-11-10,9986.0
225,2000-11-13,9897.299805
226,2000-11-14,10274.799805
227,2000-11-15,10294.099609
228,2000-11-16,10135.299805
229,2000-11-17,9845.900391
230,2000-11-20,9548.700195
231,2000-11-21,9594.0
232,2000-11-22,9252.5
233,2000-11-23,9334.799805
234,2000-11-24,9642.299805
235,2000-11-27,9541.900391
236,2000-11-28,9358.0
237,2000-11-29,9477.299805
238,2000-11-30,9214.5
239,2000-12-01,9339.400391
240,2000-12-04,9069.099609
241,2000-12-05,9461.099609
243,2000-12-07,9497.299805
245,2000-12-11,9788.099609
246,2000-12-12,9753.5
247,2000-12-13,9716.900391
248,2000-12-14,9518.299805
249,2000-12-15,9155.700195
250,2000-12-18,9052.799805
251,2000-12-19,9255.5
252,2000-12-20,8864.299805
253,2000-12-21,8964.200195
254,2000-12-22,9039.0
257,2000-12-27,9078.5
258,2000-12-28,9075.599609
259,2000-12-29,9109.799805
261,2001-01-02,9080.200195
262,2001-01-03,9200.900391
263,2001-01-04,9597.200195
264,2001-01-05,9601.400391
265,2001-01-08,9623.599609
266,2001-01-09,9581.799805
267,2001-01-10,9585.799805
268,2001-01-11,9699.799805
269,2001-01-12,9890.200195
270,2001-01-15,9892.0
271,2001-01-16,9722.400391
272,2001-01-17,10020.099609
273,2001-01-18,10070.799805
274,2001-01-19,9955.5
275,2001-01-22,10019.200195
276,2001-01-23,10100.400391
277,2001-01-24,10116.200195
278,2001-01-25,10132.0
279,2001-01-26,10090.099609
280,2001-01-29,9949.900391
281,2001-01-30,10036.200195
282,2001-01-31,10116.0
283,2001-02-01,10123.0
284,2001-02-02,9848.5
285,2001-02-05,9846.700195
286,2001-02-06,9934.799805
287,2001-02-07,9880.700195
288,2001-02-08,10020.799805
289,2001-02-09,9936.299805
290,2001-02-12,10096.5
291,2001-02-13,10054.200195
292,2001-02-14,9759.700195
293,2001-02-15,9865.299805
294,2001-02-16,9789.5
295,2001-02-19,9861.299805
296,2001-02-20,9680.5
297,2001-02-21,9592.099609
298,2001-02-22,9418.799805
299,2001-02-23,9344.799805
300,2001-02-26,9476.400391
301,2001-02-27,9554.099609
302,2001-02-28,9551.400391
303,2001-03-01,9486.099609
304,2001-03-02,9570.900391
305,2001-03-05,9688.099609
306,2001-03-06,9892.099609
307,2001-03-07,9923.299805
308,2001-03-08,9798.200195
309,2001-03-09,9726.599609
310,2001-03-12,9494.799805
311,2001-03-13,9510.900391
312,2001-03-14,9393.0
313,2001-03-15,9476.299805
314,2001-03-16,9290.0
315,2001-03-19,9251.299805
316,2001-03-20,9216.700195
317,2001-03-21,8899.799805
318,2001-03-22,8531.799805
319,2001-03-23,8810.5
320,2001-03-26,9063.400391
321,2001-03-27,9263.299805
322,2001-03-28,9163.400391
323,2001-03-29,9222.799805
324,2001-03-30,9308.299805
325,2001-04-02,9324.299805
326,2001-04-03,9011.799805
327,2001-04-04,9172.400391
328,2001-04-05,9340.200195
329,2001-04-06,9328.400391
330,2001-04-09,9453.5
331,2001-04-10,9601.799805
332,2001-04-11,9613.900391
333,2001-04-12,9648.799805
336,2001-04-17,9526.5
337,2001-04-18,9797.799805
338,2001-04-19,9798.0
339,2001-04-20,9547.5
340,2001-04-23,9269.400391
341,2001-04-24,9418.900391
342,2001-04-25,9350.400391
343,2001-04-26,9523.900391
344,2001-04-27,9634.599609
345,2001-04-30,9761.0
347,2001-05-02,9633.5
348,2001-05-03,9497.200195
349,2001-05-04,9542.700195
350,2001-05-07,9589.200195
351,2001-05-08,9658.0
352,2001-05-09,9654.299805
353,2001-05-10,9781.5
354,2001-05-11,9684.5
355,2001-05-14,9602.200195
356,2001-05-15,9667.599609
357,2001-05-16,9588.099609
358,2001-05-17,9661.5
359,2001-05-18,9728.400391
360,2001-05-21,9678.200195
361,2001-05-22,9626.900391
362,2001-05-23,9632.599609
363,2001-05-24,9616.200195
364,2001-05-25,9468.400391
365,2001-05-28,9545.599609
366,2001-05-29,9487.200195
367,2001-05-30,9439.900391
368,2001-05-31,9500.700195
369,2001-06-01,9399.400391
370,2001-06-04,9561.5
371,2001-06-05,9601.799805
372,2001-06-06,9530.700195
373,2001-06-07,9516.799805
